brands;name;description;Photo;price;vintage;RP;Url
Chateau Cheval Blanc;Chateau Cheval Blanc premier grand Cru Classe 2006, 750 ml;«Как и всегда, Шваль Блан 2006 года выполнен в легком, элегантном стиле, в основе которого - утонченность, чистота и прекрасные нюансы. Глубокий рубиново-фиолетовый цвет сопровождается запахами гравия, ментола, малины, вишни, а также ассорти из синих и черных ягод. Безупречная интеграция нового дуба, среднетелость, потрясающие ощущения на небе и чистота, а также легкие танины позволяют предположить, что его можно будет пить через 2-3 года, оно все же должно набрать вес из-за большого компонента Каберне Фран. Хотя 2006 год не может затмить 2005, 2000 или 1998, он не далек от них с точки зрения качества и долговечности. Ожидаемый срок зрелости: 2012-2028 гг.». <br /><em>Wine Advocate, 2007</em> <br /><br /> «Шато Шваль Блан 2006 года показало себя очень хорошо. Демонстрируя многообещающе молодой темный сливово-рубиновый цвет, много лакрицы, черной малины и черной смородины, а также намеки на дым и подлесок, вино близко к полнотелому, богатое и, на мой взгляд, это типичный недооцененный образец винтажа. Пейте его в течение следующих 20-25 лет». <br /> <em>Wine Advocate, 2017</em> <br />;https://static.tildacdn.com/tild3434-6330-4336-b137-363533376531/Cheval_Blanc.jpg;154000.00;2006;97;https://winetime.moscow/chateau-cheval-blanc-premier-grand-cru-classe-2006
Chateau Cos d’Estournel;Chateau Cos d’Estournel grand Cru Classe 2003, 750 ml;«Потенциально самый прекрасный Кос д'Эстурнель, который я когда-либо пробовал. Это вино, кажется, набрало еще больше веса и силы даже за те 9 месяцев, которые прошли с момента большой презентации. Использовался на 80% новый дуб, и вино выдерживалось на осадке до начала лета прошлого года. Блестящая работа - это сверхконцентрированное, элегантное и гармоничное вино имеет чернильно-фиолетовый цвет по краю и великолепный вкус черносмородинового ликера, смешанного с дымом, графитом, лакрицей, инжиром и ванилью. Насыщенный, богато текстурированный и очень концентрированный, он обладает удивительной свежестью и четкостью для вина такой интенсивности и насыщенности. Жан-Гийом Пратс сообщил мне, что конечный рН составляет всего 3,6, что ниже, чем я мог предположить, учитывая текстурную насыщенность вина. Кроме того, алкоголь здесь относительно высок для Бордо - 13,5% (сравните это с 13,1% в 1990 году). Послевкусие длится почти минуту, так что это действительно совершенное вино, которое должно занять свое место в пантеоне великих вин Бордо на многие десятилетия вперед. Ожидаемая зрелость: 2009-2030+гг.». <br /> <em>Wine Advocate, 2005 </em><br /><br />«Кос д'Эстурнель 2003 года (70% Каберне Совиньон, 27% Мерло и + Пти Вердо и Каберне Фран) остается одной из суперзвезд этого винтажа. Он демонстрирует непрозрачный рубиново-фиолетовый оттенок, а также ноты ладана, камфары, лакрицы, черносмородинового ликера и графита. Полнотелый, богатый, невероятно свежий и хорошо очерченный, его можно пить сейчас и в течение следующего десятилетия. Слава команде Кос д'Эстурнель. Ожидаемая зрелость: 2014-2024 гг.». <br /> <em>Wine Advocate, 2014 </em><br />;https://static.tildacdn.com/tild6132-6235-4164-b262-646438666261/Cos_dEstournel.jpg;50000.00;2003;97;https://winetime.moscow/chateau-cos-destournel-grand-cru-classe-2003
Chateau Ducru-Beaucaillou;Chateau Ducru-Beaucaillou grand Cru Classe 2009, 750 ml;«Может ли Дюкрю-Бокайю 2009 быть лучше, чем блестящий 2000 и выдающиеся 2003 и 2005? Решать предстоит покупателям, но это непревзойденное вино является одним из лучших Дюкрю-Бокайю всех времен. Это купаж из 85% Каберне Совиньон и 15% Мерло, достигших природной крепости в 13,5%. Что примечательно, намека на древесину нет ни в ароматах, ни во вкусах, несмотря на то что использование на 90% нового дуба. Чернильно-пурпурного оттенка, отлично текстурированный 2009 демонстрирует слои синих, красных и черных ягод, а также намеки на коробку лакрицы и специй. Несмотря на солидность и массивность, он сохраняет элегантный стиль. Ожидаемая зрелость 2013-2053 гг.». <br /><em>Wine advocate, 2010 </em><br />;https://static.tildacdn.com/tild3366-3832-4233-b664-656433356539/Ducru2009.jpg;64000.00;2009;100;https://winetime.moscow/ducru-beaucaillou-grand-cru-classe-2009
Chateau Latour;Chateau Latour premier grand Cru Classe 2004, 750 ml;«Вино урожая 2004 года Латур может похвастаться плотным фиолетовым цветом, а также классическим носом из чернил, черной смородины, сладкой вишни, гравия и минералов. Несмотря на то, что он выдержан в 100% новом французском дубе, намека на древесность нет в помине. Он обладает прекрасной текстурой, умеренно высоким танином, невероятной концентрацией и долгим, насыщенным послевкусием. Блестящее вино из сложного винтажа, оно должно оказаться на пике зрелости между 2013 и 2035 годами. Спасибо всем в Латур!» <br /><em>Wine advocate, 2006 </em><br />;https://static.tildacdn.com/tild6331-3864-4562-a631-353137393133/Latour_2004.jpg;124000.00;2004;95;https://winetime.moscow/chateau-latour-premier-grand-cru-classe-2004
Chateau Margaux;Chateau Margaux premier grand Cru Classe 1986, 750 ml;"«1986 - великолепный образец Шато Марго и один из самых танинных, медленно развивающихся Марго за последние 50 лет. Цвет все еще плотный, рубиново-пурпурный с легким намеком на осветление по краю. После нескольких часов аэрации ароматические вещества поражают нотами дыма, тостов, черносмородинового ликера, минералов и белых цветов. Полнотелое, с высокими, но сладкими танинами, значительной чистотой и очень мужским стилем, это вино, кажется, почти бессмертно, говоря о потенциале выдержки. Оно выходит из детского возраста и близится к подростковому. <a href=""https://bestofwines.com/wine/france/bordeaux/bordeaux-st-emilion/chateau-angelus/"">Ожидаемая зрелость:</a> 2008-2050 гг.». <br /> <em>Wine advocate, 2003</em><br />";https://static.tildacdn.com/tild3731-6531-4333-b263-373361383863/Chateau_Margaux_prem.jpg;158600.00;1986;98;https://winetime.moscow/chateau-margaux-premier-grand-cru-classe-1986
Chateau Haut-Brion;Chateau Haut-Brion Premier Cru Classe 1990, 750 ml;«Cовершенное, одно из великих О-Брион последних 25 лет, это вино несколько затерялось в тени бессмертного 1989 года. Оно продолжает набирать силу и на деле более развито, чем 1989. Оно демонстрирует классические для О-Брион ароматы нагретой земли, опаленной солнцем травы, табака, сладкой корицы, фиников и черной смородины. Роскошное, объемное, текстурированное вино, полнотелое, с большой концентрацией, превосходной чистотой, низкой кислотностью и очень сладкими, плавно интегрированными танинами. Вино уже показывает большую сложность и доступность, ему чрезвычайно трудно сопротивляться. Ожидаемая зрелость: сейчас-2020 год».<br /><em>Wine advocate, 2003</em><br /><br />«С точки зрения блестящей сложности и благородства ароматики - выжженной земли, черной смородины, слив, древесного угля, кедра и специй - 1990 предлагает ароматический взрыв, который не имеет себе равных. Интересно пробовать его после 1989 - монументального, но гораздо менее развитого и плотного, без ароматической сложности 1990 года. 1990 год набрал вес после розлива и сейчас это полнотелое, богатое и яркое по стандартам О-Брион. Это невероятное выражение благородного терруара в топовом винтаже. Будучи зрелым уже несколько лет, он все еще не дает никакого кирпичного края, и я подозреваю, что он останется на этом уровне еще на 10-15 лет... но зачем ждать? Устоять невозможно. Ожидаемая зрелость 2009-2024 гг.».<br /><em>Wine advocate, 2009</em><em></em><br />;https://static.tildacdn.com/tild3030-3932-4761-b831-626235316532/Haut-Brion_1990.jpg;216970.00;1990;98;https://winetime.moscow/chateau-haut-brion-premier-cru-classe-1990
Chateau Haut-Brion;Chateau Haut-Brion Premier Cru Classe 1995, 750 ml;«Забавно метаться между 1995 и 1996 - двумя прекрасными винтажами О-Брион. 1995 год кажется мне с более мягкотанинным, немного более маслянистым и округлым по сравнению с более структурированным и мускулистым 1996 годом. Безусловно, в 1995 году блестящий администратор Жан Дельма справился безупречно. В результате О-Брион – глубоко рубиново-пурпурного цвета, плотный, с многообещающим ароматом (тлеющие древесные угли, смешанные с ванилью, коробка из-под специй, земля, минералы, сладкая вишня и черная смородина) от средне- до полнотелого, с высоким уровнем зрелых, но сладких танинов и послевкусием, длящимся 40-45 секунд. Это вино только начинает проявляться, выходя из очень закрытого состояния, в котором оно «засело» упорно и упрямо. Ожидаемая зрелость: 2006-2035 гг.». <br /> <em>Wine advocate, 2003 </em><br />;https://static.tildacdn.com/tild6266-6461-4237-b338-653330633962/Haut-Brion_1995.jpg;154700.00;1995;96;https://winetime.moscow/chateau-haut-brion-premier-cru-classe-1995
Chateau Pape Clement;Chateau Pape Clement Grand Cru Classe de Graves 2011, 750 ml;«Купаж 2011 Пап Клеман, состоящий из 57% Каберне Совиньон, 38% Мерло + Пти Вердо и Каберне Фран, был выдержан 18 месяцев в новом французском дубе, прежде чем был разлит в бутылки без фильтра. Глубокий, со сложным букетом шелковицы, черной вишни, черной смородины, графита и тонким дымом и горящими тлеющими ароматами, это настоящая суперзвезда винтажа. Он представляет собой замечательное достижение винодельческой команды Бернара Магре. Полнотелое, насыщенное и многомерное, это вино явно превосходит весь винтаж. Он должен спокойно стареть в течение 25 лет». <br /> <em>Wine advocate, 2014</em><br />;https://static.tildacdn.com/tild6335-6339-4535-b633-623137393739/Pape_Clement_Grand_C.jpg;24460.00;2011;96;https://winetime.moscow/chateaupapeclement-grand-cru-classe-de-graves-2011
Comte Georges de Vogue;Domaine Comte Georges de Vogue, Musigny Grand Cru Cuvee Vieilles Vignes 1990, 750 ml;«Насыщенный рубиново-пурпурный цвет этого похожего на бордосское вина предшествует крепко сбитому «носу» цветов, черных ягод, подлеска, минералов, дыма и нового дуба. Будучи чрезвычайно концентрированным, это вино мучительно медленно созревает, и пить его не в удовольствие… пока. Это насыщенное вкусами вино должно оказаться одним из самых долгоживущих красных бургундских вин, сделанных за последние 20 лет. Ожидаемая зрелость 2010-2025 гг.».<br /><em>Wine advocate, 2002 </em><br /><br />«Эталонное вино для Бургундии. Демонстрирует гармонию и статус, со слоем зрелой земли и ароматами малины, большим количеством чистого нового дуба. Глубокое, сложное, бархатистое завершение». <br /><em>Wine spectator</em> <br />;https://static.tildacdn.com/tild3931-3630-4762-b130-663435346235/1990_Musigny_Grand_C.jpg;252200.00;1990;96;https://winetime.moscow/musigny-grand-cru-cuvee-vieilles-vignes-1990
Leflaive;Domaine Leflaive Batard-Montrachet Grand Cru 2013, 750 ml;«2013 Батар-Монраше Гран Крю, как и многие из этого виноградника, обладает выразительным и, по сравнению с другими винтажами, почти экстравагантным букетом, взъерошенным интенсивным цитрусовым лимоном, свежесрезанной грушей, известняком и даже слабым оттенком перечной мяты. Небо интенсивно на входе с большей глубиной, чем Бьенвеню на этой стадии. Здесь есть щепотка специй, имбирь, добавляющий немного огня в передней части языка, затем привлекательные каменистые ноты, наконец, раскрывающиеся на финише и послевкусии. Превосходно - для меня, возможно, превосходит 2012 год». <br /> <em>Wine advocate, 2014</em><br />;https://static.tildacdn.com/tild3239-6638-4732-b262-643435323337/Domaine_Leflaive_Bat.jpg;143000.00;2013;96;https://winetime.moscow/domaine-leflaive-batard-montrachet-grand-cru-2013
