Tilda UID,Brand,SKU,Mark,Category,Title,Description,Text,Photo,Price,Quantity,Price Old,Editions,Modifications,External ID,Parent UID,Characteristics:Страна,Characteristics:Винтаж,Characteristics:Регион,Characteristics:Состав,Characteristics:Объем,Characteristics:Алк.,Characteristics:PR,Characteristics:Субрегион,Characteristics:WS,Characteristics:Тип,Characteristics:Vinous,Characteristics:JS,Characteristics:RP,Characteristics:Страна производства,Characteristics:Производитель,Characteristics:Материал,Characteristics:Терруар,Characteristics:Площадь виноградника,Characteristics:Возраст лоз,Characteristics:Особенности производства,Characteristics:Интересный факт,Characteristics:Декантер,Characteristics:Коллекция,Characteristics:Потенциал зрелости,Weight,Length,Width,Height,SEO title,SEO descr,FB title,FB descr,Url
831005171212,Chateau Ducru-Beaucaillou,,,Франция;Ducru-Beaucaillou;MarketWinetime;Angelus 2;Выключенные;Бордо;Secret-Margaux,"Chateau Ducru-Beaucaillou grand Cru Classe 2009, 750 ml",,"«Может ли Дюкрю-Бокайю 2009 быть лучше, чем блестящий 2000 и выдающиеся 2003 и 2005? Решать предстоит покупателям, но это непревзойденное вино является одним из лучших Дюкрю-Бокайю всех времен. Это купаж из 85% Каберне Совиньон и 15% Мерло, достигших природной крепости в 13,5%. Что примечательно, намека на древесину нет ни в ароматах, ни во вкусах, несмотря на то что использование на 90% нового дуба. Чернильно-пурпурного оттенка, отлично текстурированный 2009 демонстрирует слои синих, красных и черных ягод, а также намеки на коробку лакрицы и специй. Несмотря на солидность и массивность, он сохраняет элегантный стиль. Ожидаемая зрелость 2013-2053 гг.». <br /><em>Wine advocate, 2010 </em><br />",https://static.tildacdn.com/tild3366-3832-4233-b664-656433356539/Ducru2009.jpg,64000.00,,,,,hyUuzMsg2VJ3LmXVMCa5,,Франция,2009,Бордо,"Каберне Совиньон, Мерло","0,75","13,5%",100,Сент-Жульен,96,"Красное, сухое",,,100,Франция,https://chateau-ducru-beaucaillou.com/en,,"Почва глинистая, аллювиальная, сверху - толстый слой гравия. Сорта: 70% каберне совиньон, 30% мерло.",75 га,35 лет,"Ручной сбор. Ферментация в емкостях из дерева и нержавеющей стали при контролируемой температуре. Выдержка в новых бочках из французского дуба в течение 18 месяцев. Оклейка яичным белком. Бленд: 85% каберне совиньон, 15% мерло.",,не используйте декантер,можно пить сейчас,до 2050 ,0,0,0,0,,,,,https://winetime.moscow/ducru-beaucaillou-grand-cru-classe-2009
341510910640,Chateau Pape Clement,,,Франция;MarketWinetime;Pape Clement;Бордо;10 000 - 30 000;Secret-Margaux,"Chateau Pape Clement Grand Cru Classe de Graves 2011, 750 ml",,"«Купаж 2011 Пап Клеман, состоящий из 57% Каберне Совиньон, 38% Мерло + Пти Вердо и Каберне Фран, был выдержан 18 месяцев в новом французском дубе, прежде чем был разлит в бутылки без фильтра. Глубокий, со сложным букетом шелковицы, черной вишни, черной смородины, графита и тонким дымом и горящими тлеющими ароматами, это настоящая суперзвезда винтажа. Он представляет собой замечательное достижение винодельческой команды Бернара Магре. Полнотелое, насыщенное и многомерное, это вино явно превосходит весь винтаж. Он должен спокойно стареть в течение 25 лет». <br /> <em>Wine advocate, 2014</em><br />",https://static.tildacdn.com/tild6335-6339-4535-b633-623137393739/Pape_Clement_Grand_C.jpg,24460.00,,,,,LpYZ8gPiuoi0JxXKdRgV,,Франция,2011,Бордо,"Каберне Совиньон, Мерло, Каберне Фран, Пти Вердо","0,75","13,5%",96,Пессак Леоньян,93,"Красное, сухое",,,96,Франция,https://bernard-magrez.com/en/le-chateau-pape-clement-2/,,"Почва: гравий, песок, глина, известняк.","32,5 га",30 лет,"Ручной сбор. Доферментационная мацерация при низкой температуре. Ферментация в деревянных емкостях. Мацерация в течение 30-40 дней. Малолактическая ферментация в дубе. Выдержка в течение 18 месяцев во французском дубе (70% новых бочек). Бленд: 57% каберне совиньон, 38% мерло, остальное - каберне фран и пти вердо.",,не используйте декантер,вино в лучшей форме,до 2039,0,0,0,0,,,,,https://winetime.moscow/chateaupapeclement-grand-cru-classe-de-graves-2011
147735093857,Chateau Beau-Sejour Becot,,,Франция;MarketWinetime;2015;Beau-Sejour Becot;Бордо;10 000 - 30 000;Secret-Margaux,"Chateau Beau-Sejour Becot premier grand Cru Classe 2015, 750 ml",,"Вино наполнено вкусами спелой, сочной сливы, ежевики и ягод асай. Здесь присутствуют нотки лакрицы и фруктового пирога, великолепно дополненные привкусом яблочной древесины на финише. Лучше всего выпить его в период с 2020 по 2035. <br /><em>Wine Spectator</em> <br /><br />Бо-Сижур Беко 2015 состоит из 80% Мерло, 15%Каберне-фран и 5% Каберне совиньон. Вино выдерживалось во французском дубе (85% - новый, 15% - годовалый) 17 месяцев. Цвет гранатово-фиолетовый средней насыщенности. Букет раскрывается с ежевики, черешни и размятой черной сливы. Слышатся ароматы коробки из-под сеций, лаванды и кедра. Вино от средне- к полнотельному, богатое, бархатистое, крепкое с долгим пряным послевкусием. <br /><em>Wine Advocate</em> <br />",https://static.tildacdn.com/tild6661-6664-4364-b734-333536663035/Beau-Sejour-Becot-20.jpg,18590.00,,,,,Gck5uLiFhkss0LkG8C4U,,Франция,2015,Бордо,"Мерло, Каберне Фран, Каберне Совиньон","0,75","14,5%",95,Сент-Эмильон,95,"Красное, сухое",,,95,Франция,http://www.beausejour-becot.com,,"Виноградники располагаются к юго-востоку от Либурна. Почва: глина, известняк.",19 га,45 лет,"Бленд: 80% мерло, 15% каберне фран, 5% каберне совиньон. Ручной сбор. Холодная мацерация в течение 4 дней. Ферментация в нержавеющей стали, причем 20−40% урожая ферментируется гроздями. Выдержка в барриках из французского дуба (65% новых бочек) в течение 18−20 месяцев.",,не используйте декантер,вино в лучшей форме,до 2042,0,0,0,0,Chateau Beau-Sejour Becot premier grand Cru Classe,"Вино наполнено вкусами спелой, сочной сливы, ежевики и ягод асай. Здесь присутствуют нотки лакрицы и фруктового пирога, великолепно дополненные привкусом яблочной древесины на финише. Лучше всего выпить его в период с 2020 по 2035.",,,https://winetime.moscow/beau-sejour-becot-2015
539570729533,Petrus,,,Скидки недели;Франция;Избранное 2;Petrus;MarketWinetime;Выключенные;Бордо;Secret-Margaux,"Petrus 2007, 750 ml",,"Прекрасный Петрюс 2007 - перый Петрюс за много лет, который можно пить практически немедленно - уже сейчас. Он достаточно объемный для своего винтажа. У него темный сливово-рубиново-фиолетовый цвет и букет ароматов шелковицы, черешни, кедрового дерева и почвы, в нем много фруктов. Вино очень насыщенное, обильное, скорее полнотельное, с шелковистыми танинами и низкой кислотностью. Его можно пить с 2010 по 2025.<br /><br /><span style=""font-size: 14px;""><strong><em data-redactor-tag=""em"">Wine Advocate, 2010</em></strong></span><br /><br /><a href=""https://winetime.moscow/wm-petrus"" style=""font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; background: transparent; border-bottom: 1px solid rgb(34, 40, 204); font-family: MontSingel, Arial, sans-serif; font-size: 18px; font-weight: 300; box-shadow: rgb(34, 40, 204) 0px -1px 0px 0px inset; color: rgb(34, 40, 204) !important;"">Читать</a> <em>о производителе</em>",https://static.tildacdn.com/tild3164-3930-4935-b961-363832663936/petrus-2007.jpg,710000.00,,,,,inYHCySa4yFysFphPA5M,,Франция,2007,Бордо,Мерло,"0,75","13,5%",93,Помроль,92,"Красное, сухое",,,93,Франция,https://www.petrus.com/PETRUS/PAGE_Index/fA0AAHBM5H5yQ0RhSkFOUWpWAgA?A5,,Виноградник расположен на высоте 40 метров - это самая высокая точка помрольского плато. Уникальный состав почвы: глина + подпочва из плотной голубой глины. ,"11,5 га",40 лет,Ручной сбор. Винификация в бетоне при контролируемой температуре: всего 12 емкостей объемом от 50 до 130 гектолитров - в соответсвии с размерами участков. Выдержка в бочках из французского дуба (50% новых бочек) в течение 18-20 месяцев.,,не используйте декантер,вино в лучшей форме,до 2033,0,0,0,0,,,,,https://winetime.moscow/petrus-2007
327998826383,Chateau Palmer,,,France 2;Palmer;Бордо;Secret-Margaux,Chateau Palmer 2002,,"Очень удачное вино для этого винтажа. Бленд 52% Каберне Совиньон, 40% Мерло и 8% Пти Вердо выдает сложный, поразительный букет ароматов ментола, черной смородины, сливы, лакрицы и нотку капучино. Вино густое, ближе к полнотельному, с высоким уровнем танинов. Массивное, в стиле классических винтажей Бордо 1966, 1986 и 1996 - это вино обладает непревзойденной чистотой и стойкостью. Его следует приобретать только если вы являетесь терпеливым владельцем надежного холодного подвала, где это вино будет храниться столько, сколько ему нужно. <br /><em>Wine Advocate</em><em>, 2005<br /><br /> Насыщенный аромат ванили, шоколада и ягод. У этого полнотельного вина очень изящные танины и долгое шелковистое послевкусие. По-настоящему изысканное вино. Этот Пальмер демонстрирует одновременно мощь и деликатность. <br /><em>Wine Spectator, 2005</em> <br /></em>",https://static.tildacdn.com/tild6462-3930-4331-b137-396262323735/palmer-2002.jpg,62400.00,,,,,zIRNvS5LoadJjC1HYZFn,,Франция,2002,Бордо,"Каберне Совиньон, Мерло, Пти Вердо","0,75","12,5%",94,Марго,91,"Красное, сухое",,,94,Франция,https://www.chateau-palmer.com/en,,"Уникальный характер вин Пальмер обеспечивают 18 различных типов почв: гравийных, глинистых, песочных (всего 106 участков), сорта: каберне совиньон, мерло, пти вердо. ",66 га,38 лет,"Бленд: 52% каберне совиньон, 40% мрло, 8% пти вердо. Ферментация в стали при контролируемой температуре. Всего 54 цистерны объемом от 89 до 194 гектолитров - в соответствии с размером и типом участков. Выдержка в течение 18-20 месяцев. Сначала с барриках из французского дуба (50-70% новых бочек), а затем оставшееся время - в больших дубовых бочках-фудрах. С 2013 года хозяйствование полностью биодинамическое. ",,не используйте декантер,вино в лучшей форме,до 2028 ,0,0,0,0,,,,,https://winetime.moscow/palmer-2002
248697410651,Chateau Pavie,,,France 2;Pavie;2001;Бордо;Secret-Margaux,"Chateau Pavie, Saint Emilion 1-er Grand Cru Classe 2001",,"Один из кандидатов на звание вина винтажа. Урожай для Пави 2001 (бленд 70% Мерло, 20% Каберне Фран и 10% Каберне Совиньон) собрали с прекрасного южного виноградника, высаженного на известняковой почве. После 6-недельной мацерации это вино провело 24 месяца в бочках из нового дуба, а затем было разлито по бутылкам без предварительной очистки и фильтрации. Некоторые брокеры полагают, что оно может превзойти Пави 2000, но я не согласен. У Пави 2001 чернильный рубиново-фиолетовый цвет и плотный, но многообещающий букет ароматов дробленного камня, ликера из ежевики, вишни и черной смородины, а также дыма и лакрицы. Мощное, впечатляюще элегантное, гармонично сбалансированное с многослойной текстурой и послевкусием, длящимся более 50 секунд. Танины очень заметны, но хорошо интегрированы. Ему нужно еще 3-4 года, а затем его можно пить в течение 20 лет. Совершенное воплощение винтажа - образец того, как перфекционизм позволяет выйти за пределы возможного. <br /><em>Wine Advocate</em> <br /><br /> Мощное. Много дыма, ванили, ягод и шоколада. Полнотельное, с бархатистыми танинами и долгим гладким послевкусием. Современное и богатое. Отличная работа! Пейте его после 2008 года. <br /><em>Wine Spectator</em> <br />",https://static.tildacdn.com/tild3637-3164-4735-a538-333636313731/-1.jpg,84700.00,,,,,zIRNvS5LoadJjC1HYZFn,,Франция,2001,Бордо,"Мерло, Каберне Фран, Каберне Совиньон","0,75","12,5%",96,Сент-Эмильон,92,"Красное, сухое",,,96,Франция,https://www.vignoblesperse.com/en/chateau-pavie/home,,"Почвы: известняк, глина, песок. Сорта: 65% мерло, 25% каберне фран, 10% каберне совиньон.",37 га ,43 года,"Ручной сбор. Ферментация в дубовых емкостях при контролируемой температуре. Мацерация в течение 3 недель. Выдержка в бочках из французского дуба (70-100% новых) в течение 18-32 месяцев. Бленд: 70% мерло, 20% каберне фран, 10% каберне совиньон.",,не используйте декантер,вино в лучшей форме,до 2035 ,0,0,0,0,,,,,https://winetime.moscow/pavie-2001
975070054701,Chateau Pavie,,,France 2;Angelus 2;Pavie;Бордо;Secret-Margaux,"Chateau Pavie, Saint Emilion 1-er Grand Cru Classe 2014",,"Пави 2014 - настоящая звезда в портфеле Жерара Пирса в этом году. Букет ароматов сложный и захватывающий: микс красных и черных фруктов, графита и черного трюфеля, а также легкая морская нотка. Вино среднетельное, менее тяжеловесное и лощеное, чем Бельвю-Мондот. На самом деле, если пробовать вслепую, можно описать его как классический Сент-Эмильон, подкрепленный достаточно твердыми танинами, которые собственно и формируют его характер. Это Пави вязкое, но сбалансированное. Все указывает на то, что оно будет долго жить. Стоит того, чтобы подождать. <br /><em>Wine Advocate</em> <br /><br /> Это вино сочится лесными ягодами, ягодами асаи и ежевичным вареньем, но они быстро уступают лидерство изящной и аппетитной густой минеральности. Очень пряное, присутствуют лакрица, фрукты и минеральность. Отложите его пока - выпьете в 2026-2040 гг. <br /><em>Wine Spectator</em> <br />",https://static.tildacdn.com/tild6163-3531-4137-a537-366137393839/pavie-2014.jpg,72500.00,,,,,zIRNvS5LoadJjC1HYZFn,,Франция,2014,Бордо,"Мерло, Каберне Фран, Каберне Совиньон","0,75","14,5%",95,Сент-Эмильон,96,"Красное, сухое",,,95,Франция,https://www.vignoblesperse.com/en/chateau-pavie/home,,"Почвы: известняк, глина, песок. Сорта: 65% мерло, 25% каберне фран, 10% каберне совиньон.",37 га,43 года,"Ручной сбор. Ферментация в дубовых емкостях при контролируемой температуре. Мацерация в течение 3 недель. Выдержка в бочках из французского дуба (70-100% новых) в течение 18-32 месяцев. Бленд: 60% мерло, 22% каберне фран, 18% каберне совиньон.",,используйте декантер для молодых вин,в коллекцию,2024-2050,0,0,0,0,,,,,https://winetime.moscow/pavie-2014
148292122687,Chateau Palmer,,,France 2;Palmer;2009;Бордо;Secret-Margaux,Chateau Palmer 2009,,"Это вино очень свежее и энергичное, в нем очень много ежевики, затем - малина, слива и вишневый джем. Послевкусие очень чистое, с акцентными нотами цветов и железа. В конце очень заметна минеральность. Пейте его с 2020 по 2035. <br /><em>Wine Spectator</em> <br /><br /> Пальмер 2014 отвечает всем ожиданиям, которые возлагались на него во время дегустации из бочки. Здесь очень немного собственно Пальмера, зато изящный характер региона Марго отчетливо проступает во всей красе: ежевика, лесные ягоды и пенал для карандашей. Вино среднетельное с очень деликатными танинами. Во рту ощущается очень мягким и податливым. В нем нет глубины и силы последовавшего за ним Пальмер 2015, при этом действует оно очень чувственно - здесь очень заметно Мерло (45% бленда) с его округлостью и гладкой текстурой. Что за чудесное Марго! Я уверен, оно будет жить непредсказуемо долго. <br /><em>Wine Advocate</em> <br />",https://static.tildacdn.com/tild6362-6261-4266-b964-623966363165/palmer-2009.jpg,82000.00,,,,,zIRNvS5LoadJjC1HYZFn,,Франция,2009,Бордо,"Каберне Совиньон, Мерло, Пти Вердо","0,75","14,5%",98,Марго,95,"Красное, сухое",,,98,Франция,https://www.chateau-palmer.com/en,,"Уникальный характер вин Пальмер обеспечивают 18 различных типов почв: гравийных, глинистых, песочных (всего 106 участков), сорта: каберне совиньон, мерло, пти вердо. ",66 га,38 лет,"Бленд: 52% каберне совиньон, 41% мрло, 7% пти вердо. Ферментация в стали при контролируемой температуре. Всего 54 цистерны объемом от 89 до 194 гектолитров - в соответствии с размером и типом участков. Выдержка в течение 18-20 месяцев. Сначала с барриках из французского дуба (50-70% новых бочек), а затем оставшееся время - в больших дубовых бочках-фудрах. С 2013 года хозяйствование полностью биодинамическое. ",,не используйте декантер,можно пить сейчас,до 2055,0,0,0,0,,,,,https://winetime.moscow/palmer-2009
125574519061,Chateau Ducru-Beaucaillou,,,Франция;Ducru-Beaucaillou;MarketWinetime;Бордо;Secret-Margaux,"Chateau Ducru-Beaucaillou grand Cru Classe 2010, 750 ml",,"Вино глубокого гранатового цвета, Дюкрю-Бокайю 2010 только начинает раскрываться. Поначалу оно выдает тонкие ароматы печеных слив, эспрессо, лаврового листа, а затем сбивает с ног выразительной черносмородиновой нотой и ароматами поджаренного мяса, дыма, каменной крошки и трюфеля. Полнотельное вино, концентрированное, очень фруктовое и свежее, со зрелыми зернистыми танинами, многослойным вкусом и эпически долгим и глубоким послевкусием. <br /><br /> <em>Wine Advocate, 2020</em><br />",https://static.tildacdn.com/tild3333-3935-4564-a239-633061353266/ducuru-2010-2.jpg,64000.00,,,,,IbdkN2Azil0dx5S412b8,,Франция,2010,Бордо,"Каберне Совиньон, Мерло","0,75","13,5%",99,Сент-Жульен,97,"Красное, сухое",,,99,Франция,https://chateau-ducru-beaucaillou.com/en,,"Почва глинистая, аллювиальная, сверху - толстый слой гравия. Сорта: 70% каберне совиньон, 30% мерло.",75 га,35 лет,"Ручной сбор. Ферментация в емкостях из дерева и нержавеющей стали при контролируемой температуре. Выдержка в новых бочках из французского дуба в течение 18 месяцев. Оклейка яичным белком. Бленд: 90% каберне совиньон, 10% мерло.",,используйте декантер для молодых вин,можно пить сейчас,до 2065,0,0,0,0,,,,,https://winetime.moscow/ducru-2010
182517498851,Chateau Ducru-Beaucaillou,,,Франция;Ducru-Beaucaillou;MarketWinetime;Бордо;Secret-Margaux,"Chateau Ducru-Beaucaillou grand Cru Classe 2011, 750 ml",,"У Дюкрю-Бокайю 2011 глубокий гранатовый цвет и нюансированный аромат: нотки подлеска, вспаханной почвы, древесной коры и грибов окружают яркое фруктовое ядро: джем из красной смородины, сливовое варенье, черносмородиновый ликер и малина. Вино среднетельное, элегантное, освежающее. С зернистой текстурой, многослойным вкусом темных фруктов с земляными оттенками и пряным послевкусием. <br /><br /> <em>Wine Advocate, 2020</em><br />",https://static.tildacdn.com/tild3939-6261-4734-a566-306364653333/ducuru-2011.jpg,36400.00,,,,,hdluaueszXXGkxXoFJ4Z,,Франция,2011,Бордо,"Каберне Совиньон, Мерло","0,75","13,5%",93,Сент-Жульен,94,"Красное, сухое",,,93,Франция,https://chateau-ducru-beaucaillou.com/en,,"Почва глинистая, аллювиальная, сверху - толстый слой гравия. Сорта: 70% каберне совиньон, 30% мерло.",75 га,35 лет,"Ручной сбор. Ферментация в емкостях из дерева и нержавеющей стали при контролируемой температуре. Выдержка в новых бочках из французского дуба в течение 18 месяцев. Оклейка яичным белком. Бленд: 90% каберне совиньон, 10% мерло.",,не используйте декантер,вино в лучшей форме,до 2038,0,0,0,0,,,,,https://winetime.moscow/ducru-2011
